Planner,Domain,Instance,IPC_Score,LLM,Prompt_Type,Prompt_ID
madagascar,ricochet-robots,instance-09.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-11.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-13.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-14.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-16.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-17.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-18.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,snake,instance-01.pddl,0.9730334080524808,DeepSeek-R1,Arch_Aware,4.0
madagascar,snake,instance-02.pddl,0.993085717505178,GPT-5.4,Cross_Test,1.0
madagascar,snake,instance-03.pddl,0.7985455037908663,GPT-5.4,Cross_Test,3.0
madagascar,snake,instance-04.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,snake,instance-07.pddl,1.0,Gemini 3.1 Pro,Arch_Aware,4.0
madagascar,snake,instance-08.pddl,0.6951154808320149,Gemini 3.1 Pro,Arch_Aware,4.0
madagascar,snake,instance-09.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,snake,instance-11.pddl,1.0,DeepSeek-R1,Cross_Test,2.0
madagascar,snake,instance-12.pddl,0.9196200661276361,Claude Opus 4.6,Arch_Aware,4.0
madagascar,snake,instance-13.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,snake,instance-14.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,snake,instance-16.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
madagascar,snake,instance-17.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,snake,instance-18.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,snake,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-01.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-02.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-03.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-04.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-07.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-08.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-09.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-11.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-13.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-14.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-16.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-17.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-18.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,visitall,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,4.0
